name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
net.sourceforge.pbeans.Operator,3,1,6,16.67,2,66.67,47,58.75,87.04,2.5,0.83,2,33.33,,,1,0,0,0,0,1,100,2,2.5,100,0,0,,,,3,1,6,16.67,2,66.67,47,58.75,87.04,2.5,0.83,2,33.33,,,3,2.356,0.785,0.627,0.09,2,-0.466,0.335,0.167,3.75,40.201,1.234,8.024,2.704,0.901,0.39,0.023,0.074,pBeans,2,3,1,0,3,4,3,3,1,2,1,40,0,6,0,0.75,0,0,10.333333,1,0.6666667,0
net.sourceforge.pbeans.data.Database,4,4,12,33.33,1,25,60,75,75,4,0.67,0,0,,,6,0,30,0,6,100,21,26.25,48.84,15,1,0,0,,,10,17,90,18.89,1,10,62,77.5,50.41,36.5,0.81,10,11.11,,,10,5.81,0.581,0.879,0.736,10,-0.129,0.753,0.189,12.5,47.337,1.337,21.647,5.853,0.585,0.742,0.922,0.235,pBeans,2,16,1,0,7,16,120,4,3,16,2,16,0,0,0,0.19270833,0,0,0,1,1,2
net.sourceforge.pbeans.data.ResultsIterator,5,3,20,15,2,40,61,76.25,68.54,8.5,0.85,0,0,,,1,0,0,0,0,1,100,1,1.25,0,0,,,,,6,3,30,10,3,50,62,77.5,68.89,13.5,0.9,5,16.67,,,6,5.151,0.858,0.823,0.517,5,-0.195,0.607,0.1,7.5,46.243,4.737,12.453,5.231,0.872,0.522,0.819,0.077,pBeans,2,1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
net.sourceforge.pbeans.BeanFactory,3,3,6,50,1,33.33,47,58.75,78.33,1.5,0.5,0,0,,,1,0,0,0,0,1,100,1,1.25,0,0,,,,,4,3,12,25,2,50,48,60,78.69,4.5,0.75,3,25,,,4,2.625,0.656,0.983,0.382,3,-0.017,0.672,0.25,5,40.609,2.513,10.484,2.975,0.744,0.507,0.519,0.136,pBeans,2,1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,0
net.sourceforge.pbeans.AbstractStoreInfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,110,14.55,1,9.09,54,67.5,40.91,47,0.85,0,0,,,11,16,110,14.55,1,9.09,54,67.5,40.91,47,0.85,0,0,,,11,10.158,0.923,0.508,0.485,0,-0.678,0.586,0.145,13.75,45.455,1.075,29.841,10.214,0.929,0.299,0.413,0.273,pBeans,2,16,1,0,8,74,74,0,8,15,0.8666667,837,1,0,0,0.25892857,0,0,51.0625,28,2.9375,1
net.sourceforge.pbeans.data.AbstractDatabase,8,5,56,8.93,3,37.5,26,32.5,52,25.5,0.91,2,3.57,,,16,9,240,3.75,8,50,32,40,41.56,115.5,0.96,24,10,,,23,28,506,5.53,5,21.74,35,43.75,30.43,239,0.94,113.5,22.43,,,23,20.369,0.886,0.18,0.364,113.5,-1.715,0.395,0.055,28.75,41.026,17.168,23.786,20.509,0.892,0.167,0.387,0.303,pBeans,2,52,1,5,19,189,1208,10,13,22,0.9019608,3579,1,1,0,0.12796697,0,0,67.65385,10,1.4038461,5
net.sourceforge.pbeans.annotations.TransientProperty,2,1,2,50,1,50,14,17.5,87.5,0.5,0.5,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,1,50,14,17.5,87.5,0.5,0.5,0,0,,,2,1,0.5,1.369,0.128,0,0.314,0.617,0.5,2.5,32.258,0,3.383,1.095,0.548,1.011,0.749,0.19,pBeans,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
net.sourceforge.pbeans.servlet.MissingEntryException,5,3,20,15,2,40,61,76.25,68.54,8.5,0.85,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,15,2,40,61,76.25,68.54,8.5,0.85,0,0,,,5,4.114,0.823,0.894,0.47,0,-0.112,0.633,0.15,6.25,45.714,2.237,12.333,4.198,0.84,0.567,0.812,0.08,pBeans,2,3,3,0,1,4,0,1,0,3,0.5,21,1,0,0.8947368,0.6666667,0,0,5.3333335,1,0.6666667,0
net.sourceforge.pbeans.IMultiValueContainer,3,2,6,33.33,1,33.33,24,30,72.73,2,0.67,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,33.33,1,33.33,24,30,72.73,2,0.67,0,0,,,3,1.993,0.664,0.77,0.476,0,-0.261,0.265,0.333,3.75,29.52,0.014,3.359,2.094,0.698,0.612,0.568,0.077,pBeans,2,3,1,0,2,3,3,2,0,3,2,3,0,0,0,0.6666667,0,0,0,1,1,0
net.sourceforge.pbeans.servlet.ConversionException,1,0,0,0,0,1,100,9,11.25,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,9,11.25,100,0,0,,,,1,1,1,1,1,0,0,0,,1.25,30.189,0,1.222,1,1,1,1,0,pBeans,2,3,3,0,1,4,0,1,0,3,0.5,21,1,0,0.8947368,0.5555556,0,0,5.3333335,1,0.6666667,0
net.sourceforge.pbeans.data.GenericDataSource,6,10,30,33.33,1,16.67,50,62.5,50,10,0.67,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,30,33.33,1,16.67,50,62.5,50,10,0.67,0,0,,,6,1.822,0.304,0.979,0.753,0,-0.021,0.564,0.333,7.5,41.451,0.079,20.374,2.707,0.451,0.772,0.924,0.134,pBeans,2,14,1,0,2,28,79,2,0,13,0.8076923,170,1,0,0,0.2857143,0,0,10.857142,1,0.85714287,0
net.sourceforge.pbeans.servlet.UpdateResult,4,7,12,58.33,1,25,50,62.5,60.98,2.5,0.42,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,58.33,1,25,50,62.5,60.98,2.5,0.42,0,0,,,4,2.732,0.683,0.952,0.245,0,-0.049,0.791,0.583,5,41.026,0.01,15.902,3.176,0.794,0.411,0.233,0.16,pBeans,2,3,1,0,1,6,0,1,0,2,0,22,1,0,0,0.6666667,0,0,6,2,1,0
net.sourceforge.pbeans.annotations.PropertyIndex,3,4,6,66.67,1.33,2,1,33.33,47,58.75,73.44,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,66.67,1.33,2,1,33.33,47,58.75,73.44,1,0.33,0,0,3,1.349,0.45,1.26,0.33,0,0.231,0.758,0.667,3.75,40.201,0.004,11.669,1.464,0.488,0.755,0.748,0.148,pBeans,2,3,1,0,2,3,3,2,0,3,2,3,0,0,0,1,0,0,0,1,1,0
net.sourceforge.pbeans.Index,2,1,2,50,1,50,48,60,90.57,0.5,0.5,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,1,50,48,60,90.57,0.5,0.5,0,0,,,2,1,0.5,1.72,0.011,0,0.542,0.851,0.5,2.5,41.451,0,8.28,1.22,0.61,0.797,0.575,0.116,pBeans,2,9,1,0,4,17,10,4,0,9,0.45833334,114,1,0,0,0.3148148,1,1,11.333333,4,1.1111112,0
net.sourceforge.pbeans.util.NameValueArray,4,4,12,33.33,1,25,60,75,75,4,0.67,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,33.33,1,25,60,75,75,4,0.67,0,0,,,4,2.102,0.526,0.981,0.731,0,-0.019,0.361,0.333,5,45.198,0.849,11.743,2.201,0.55,0.855,0.939,0.083,pBeans,2,2,1,0,3,3,0,3,0,2,0.33333334,30,0,0,0,0.75,0,0,12.5,1,0.5,0
net.sourceforge.pbeans.annotations.PersistentProperty,4,2,12,16.67,2,50,62,77.5,76.54,5,0.83,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,16.67,2,50,62,77.5,76.54,5,0.83,0,0,,,4,3.137,0.784,0.718,0.666,0,-0.332,0.239,0.167,5,45.714,2.441,10.936,3.147,0.787,0.583,0.75,0.066,pBeans,2,4,1,0,1,4,6,1,0,4,2,4,0,0,0,1,0,0,0,1,1,0
net.sourceforge.pbeans.StoreException,2,1,2,50,1,50,49,61.25,90.74,0.5,0.5,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,1,50,49,61.25,90.74,0.5,0.5,0,0,,,2,1.122,0.561,0.979,0.472,0,-0.021,0.271,0.5,2.5,40.404,0,8.541,1.756,0.878,0.753,0.764,0.022,pBeans,2,3,3,1,11,6,3,11,0,3,2,18,0,0,1,0.7777778,0,0,5,0,0,0
net.sourceforge.pbeans.data.BeanUnmarshaller,1,0,0,0,0,1,100,6,7.5,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,6,7.5,100,0,0,,,,1,1,1,1,1,0,0,0,,1.25,26.936,0,0.908,1,1,1,1,0,pBeans,2,3,1,0,5,3,3,5,0,3,2,3,0,0,0,0.5,0,0,0,1,1,0
net.sourceforge.pbeans.PersistentID,1,0,0,0,0,1,100,6,7.5,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,6,7.5,100,0,0,,,,1,1,1,1,1,0,0,0,,1.25,26.936,0,0.908,1,1,1,1,0,pBeans,2,6,1,0,7,10,0,7,0,4,0,47,1,0,0,0.33333334,1,1,6.6666665,3,1.1666666,2
net.sourceforge.pbeans.data.BeanWrapper,1,0,0,0,0,1,100,9,11.25,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,9,11.25,100,0,0,,,,1,1,1,1,1,0,0,0,,1.25,29.963,0,1.707,1,1,1,1,0,pBeans,2,1,1,0,3,2,0,3,0,1,2,12,0,0,0,1,0,0,9,0,0,0
net.sourceforge.pbeans.Persistent,1,0,0,0,0,1,100,6,7.5,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,6,7.5,100,0,0,,,,1,1,1,1,1,0,0,0,,1.25,31.746,0,1.22,1,1,1,1,0,pBeans,2,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
net.sourceforge.pbeans.util.Hash,1,0,0,0,0,1,100,4,5,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,4,5,100,0,0,,,,1,1,1,1,1,0,0,0,,1.25,28.986,0,1.027,1,1,1,1,0,pBeans,2,4,1,0,4,16,4,4,0,3,0.6666667,85,1,0,0,0.33333334,0,0,19.75,2,0.75,0
net.sourceforge.pbeans.data.IndexDescriptor,1,0,0,0,0,1,100,23,28.75,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,23,28.75,100,0,0,,,,1,1,1,1,1,0,0,0,,1.25,29.197,0,2.331,1,1,1,1,0,pBeans,2,10,1,0,4,16,17,4,0,10,0.5277778,116,1,0,0,0.33333334,1,1,10.2,5,1.1,0
